"","x"
"52"," 창극 흥보씨 공연장면 제공 국립극장 막 일부장면 수정 완성도 높여 월 일 명동예술극장서지난해 고선웅 연출과 이자람 음악감독의 만남으로 화제를 모았던 창극 흥보씨 가 다시 무대에 오른다 국립창극단 예술감독 김성녀 은 레퍼토리 창극 흥보씨 를 명동예술극장에서 월 일부터 일까지 공연한다고 밝혔다 지난 월 창극 심청가 연출 손진책 를 같은 극장에서 공연하며 호평을 얻었던 만큼 흥보씨 도 그 여세를 몰아 창극 열풍을 이어갈 수 있을지 기대된다 창극 흥보씨는 구비설화를 원형으로 하되 고선웅이 이야기를 비틀고 이자람이 판소리와 현대음악에서 변화를 시도해 선입견을 깨뜨리면서도 재미있는 창극이 탄생했다는 평가를 받았다 고선웅 연출은 흥보 놀보 형제 출생에 얽힌 비밀 사연 다른 별에서 온 스님 말하는 호랑이 등의 캐릭터를 더해 극적 긴장감과 재미를 배가했다 이야기는 다시 썼지만 선한 사람으로 살아가는 것은 무엇인가 라는 원작의 주제를 오늘날 관객에게 더욱 명확하고 효과적으로 전달한다 또한 작품 곳곳에 허를 찌르는 반전도 공연의 묘미다 판소리 흥보가 의 원형을 토대로 하면서도 새로운 사운드를 입혀 전통과 현대가 공존하는 음악도 또다른 감상 포인트다 이자람 감독은 흥부가 의 눈대목을 가져와 음악의 격을 높이는 한편 새롭게 추가된 이야기에 리드미컬한 현대음악을 더해 창극이 가진 음악적 매력을 높였다 재공연하는 흥보씨는 막 일부 공연장면을 수정 작품 완성도를 높였다 한층 무르익은 기량을 뽐내고 있는 국립창극단 배우와 연주자들도 공연 기대감을 키우고 있다 남남 듀엣으로 형제간의 우애와 긴장을 그려낼 흥보 역 김준수와 놀보 역 최호성이 캐스팅됐다 명의 소리꾼들이 함께 부르는 노래와 이들이 펼친 각양각색의 부채들과 어울려 스펙터클한 장관을 연출할 예정이다 이한빛 기자 내삶의모든리뷰 헤럴드 리얼라이프 리얼라이프 카카오플러스 친구맺기 타파스 페이스북 친구맺기 헤럴드경제 무단 전재 및 재배포 금지 "
"53"," 전남수묵프레비엔날레 무안 뉴스 박영래 기자 전남국제수묵비엔날레 사무국은 일 한국외식업중앙회 전남지회 목포시지부 목포 자유시장상인회와 전남국제수묵비엔날레 성공 개최를 위한 업무협약을 체결했다 협약식에는 한국외식업중앙회 목포시지부의 김동인 지부장과 박정만 사무국장 목포 자유시장의 주상옥 상인회장과 김용희 총무 등이 참석했다 협약에 따라 지역경제 활성화와 전남국제수묵비엔날레 성공 개최를 위해 비엔날레 사전행사인 앞치마 미술제 수묵화 봉투 제작 프로그램에 외식업체 종사자 전통시장 상인들이 공동 협력키로 했다 앞치마 미술제는 외식업체 등 자유시장 여 상가에 지역작가 명의 작품으로 만든 수묵앞치마 점을 배부해 종업원과 식당을 찾은 손님에게 수묵과 비엔날레를 보다 친근하고 자연스럽게 홍보하는 프로그램이다 수묵화 봉투도 지역 작가 명이 참여해 수묵화를 그리고 친환경 봉투에 인쇄해 전통시장에 만 장을 배부하는 프로그램이다 김상철 수묵비엔날레 총감독은 지역민과 관광객이 같이 참여하고 어울리는 앞치마 미술제와 수묵화 봉투 프로그램을 통해 예향 남도는 앞치마 한 점 봉투 한 장도 미술이 된다는 남도의 멋을 보여주기 위해 기획했다 고 말했다 전남국제수묵비엔날레는 오는 월 일부터 두 달 간 목포 갓바위 문화타운과 진도 운림산방 일원에서 열린다 우리나라를 비롯한 중국 일본 독일 프랑스 등 개국 여명의 수묵작가가 참여한 가운데 수묵화 전시 국제 레지던시 국내외 학술대회 각종 체험 이벤트 프로그램이 펼쳐진다 뉴스 채널설정하기 제보하기 러시아 월드컵 기사보기 뉴스 코리아 무단 전재 및 재배포 금지 "
"54"," 디지털타임스 김양혁 기자 한불모터스는 직장인을 대상으로 한 볼빅 직장인 동호회 골프대회 를 후원한다고 일 밝혔다 대회는 동일 직장 내 골프 동호회 회원이라면 누구나 참가할 수 있으며 인 팀으로 지원할 수 있다 골프존 카운티 안성 에서 진행되며 월 일 차 대회와 월 일 차 대회를 거쳐 각 대회 상위 개 팀이 오는 월 일 최종 우승을 가리는 왕중왕전을 치르게 된다 경기 방식은 라운드에서 쳤던 총 타수가 적은 쪽이 승리하는 홀 스트로크 플레이 방식으로 팀 인의 성적을 합산해 순위를 가린다 최종 대회인 왕중왕전에서 지정 홀에 최초 홀인원을 달성한 기록자에게는 푸조 을 준다 홀인원 이 외 우승팀 준우승팀과 참가자에게는 만원 상당의 전자제품부터 골프용품 등을 제공한다 김양혁기자 디지털타임스 홈페이지 바로가기 디지털타임스 뉴스 더보기네이버 채널에서 디지털타임스 를 구독해주세요 "
"55"," 체중 변동이 큰 사람은 당뇨병에 걸릴 위험도 크다는 연구 결과가 발표됐다 사진 헬스조선 반복된 다이어트 등으로 체중 변화가 크게 일어나면 당뇨병 발생 위험이 커진다는 연구 결과가 나왔다 강북삼성병원 내분비내과 이은정 교수 연구팀은 해마다 건강검진을 받는 여 명을 대상으로 년간 체중변동폭과 당뇨병 발생 여부를 관찰했다 그 결과 체중변동 폭이 클수록 당뇨병 발생률이 증가했다 몸무게 변화가 거의 없는 사람과 비교해 변화가 큰 사람은 당뇨병 발생 위험이 배 이상 높았다 연구팀은 체중을 뺄 때 근육이 더 많이 소모되고 체중이 늘 땐 근육 대신 오히려 지방이 더 많이 생겨 혈당조절을 방해하는 것으로 분석했다 이은정 교수는 다시 체중이 늘어날 때는 지방은 굉장히 빨리 회복되지만 근육은 그만큼 빨리 회복이 안 된다 며 지방 증가가 당뇨병에 영향을 줄 것으로 보인다 고 말했다 김수진 헬스조선 기자정선유 헬스조선 인턴기자 국내 최고 명의 명은 누구일까 대표 건강 사이트 헬스조선닷컴 바로가기"
"56"," 한겨레 강릉시 촬영마쳐 철거된 방탄소년단 정류장 재현맴버 명이 봄볕 쬐던 곳 시내버스 운행은 안해주문진해변 인기몰이 드라마 도 촬영 강릉시가 주문진해변에 설치한 방탄소년단 정류장 모습 강릉시청 제공 촬영지로 인기를 끌고 있는 강릉 주문진해변에 방탄소년단 버스정류장 이 생겼다 강원 강릉시는 주문진해변 백사장에 방탄소년단 버스정류장을 설치했다고 일 밝혔다 이 정류장은 방탄소년단 유 네버 워크 얼론 앨범 사진에 등장한 버스정류장을 그대로 재현한 것이다 앨범 사진을 보면 방탄소년단 멤버 명이 바닷가 정류장에 쪼르륵 앉아 봄볕을 쬐고 있다 사진 촬영지가 주문진해변이라는 것을 알게 된 강릉시는 해수욕장 개장에 앞서 정류장 설치를 마치기 위해 방탄소년단 소속사 쪽과 정류장 설치를 협의해왔다 당시 소속사 쪽은 사진 촬영을 위해 길에 정류장을 설치했지만 촬영 뒤 정류장은 철거했었다 강릉시는 해수욕장 운영 기간 방탄소년단 버스정류장을 보기 위해 전국에서 많은 팬이 방문할 것으로 기대하고 있다 드라마 촬영지인 정동진과 드라마 의 촬영지인 주문진해변 방사제 등에는 지금도 수많은 관광객이 방문하고 있다 차주일 강릉시청 관광기획담당은 올 여름 아무리 기다려도 버스가 오지 않는 한적한 버스정류장에서 방탄소년단의 음악과 바다를 즐겨보길 바란다 고 말했다 박수혁 기자 한겨레 절친이 되어 주세요 신문구독 사람과 동물을 잇다 애니멀피플 카카오톡 한겨레신문 무단전재 및 재배포 금지 "
"57"," 남북한 화해무드속에서 남북한 철도복원 사업이 논의되면서 유라시아횡단열차를 타고 유럽에 갈 수 있는 날이 올 지 여행자들의 기대감이 크다 서울발 파리행 기차 여행이 가능해지는 것이다 이런 꿈을 먼저 실현시킨 이가 있다 기차 덕후 로 잘 알려진 여행작가 오영욱씨다 그는 지난 월 파리에서 출발 서울로 오는 열차여행을 시작했다 여정은 선적으로보면 단순하다 파리에서 출발해 박 일간 기차를 타고 모스크바에 도착한 뒤 박 후 모스크바를 출발해 박 일 달려 이르쿠츠크에 도착한다 다음 연결편을 타기 위해 박한 뒤 이르쿠츠크를 출발해 박 일간 울란바토르를 거쳐 베이징에 도착 다시 박 후 베이징에서 밤기차로 단둥 압록강 철교 앞에 도착한 뒤 평양을 거쳐 서울에 도착하는 여정이다 모두 개국 개도시의 역을 거치는 만 의 길 더욱이 육로를 거쳐 한국으로 돌아가는 여정은 어떨까 파리동역에서 모스크바행 열차 시간표를 보며 모니터에 서울 가 쓰이는 모습을 상상하는 저자의 셀렘 베를린역에서 접하게 된 군사분계선을 넘는 남북정상들의 뉴스에 남북 철로 장벽을 없애는 극적인 퍼포먼스를 상상하는 모습은 공감을 준다 폴란드 국경을 넘으면서 받은 기차모양의 출국도장을 받아든 기쁨 차창밖으로 바라본 저마다 다른 각국의 풍경과 센티멜탈은 읽는 이들에게 여행본능을 일깨운다 이 책의 최대미덕은 기차의 모든 여정을 꼼꼼하게 기록한 데 있다 특히 상세한 지도 그림은 값진 정보다 이윤미 기자 내삶의모든리뷰 헤럴드 리얼라이프 리얼라이프 카카오플러스 친구맺기 타파스 페이스북 친구맺기 헤럴드경제 무단 전재 및 재배포 금지 "
"58"," 미국과 독일의 두 명문 출판사 하버드대 출판부와 독일 베크 출판사가 야심차게 기획한 역사 시리즈 하버드 베크 세계사 민음사 펴냄 가 번역 출간됐다 이리에 아키라 하버드대학 명예교수와 위르겐 오스터함멜 콘스탄츠 대학 교수 등 역사학계 석학과 학자들이 대거 참여한 이 시리즈는 종래 유럽중심적 서술에서 벗어나 연결과 상호작용이라는 역사인식의 관점에서 역사를 재구성했다 이는 지난 역사학계에서 제기된 새로운 흐름을 받아들인 결과로 중심과 주변 선진과 후진 등으로 구별하지 않고 문명 전이의 역사를 균형감 있게 서술해 나간다 또한 흔히 사건 중심으로 기술하는 대신 사건 그 자체보다 구조적인 배경에 주목 입체적으로 현상을 바라보고 현재를 통찰할 수 있도록 이끈다 가령 세기를 다룰 때 보통의 세계사는 두 차례의 세계대전에 상당한 분량을 할애하지만 하버드 베크 세계사 는 세계대전 자체보다 그 배경에 주목한다 당시 경제를 들여다보면 왜 많은 국가들이 한꺼번에 전쟁에 휩쓸렸는지 이해가 간다 세기말 미국 미네소타주 미니애폴리스에서 제분된 밀가루는 전 세계로 팔려나가면서 경영혁명과 식생활 변화 광고산업의 발달을 촉진시켰다 그리고 그 과정을 통해 세계가 이웃의 전쟁에 쉽게 휩쓸릴 수 밖에 없을 만큼 과거 그 어느 때보다 긴밀하게 연결됐음을 깨닫게 된다 환경사를 정치 경제 문화와 나란히 놓은 점 공동체와 문화세계화 초국적 경향을 년 이후의 역사를 이해하는 열쇠로 제시한 것도 눈길을 끈다 이윤미 기자 내삶의모든리뷰 헤럴드 리얼라이프 리얼라이프 카카오플러스 친구맺기 타파스 페이스북 친구맺기 헤럴드경제 무단 전재 및 재배포 금지 "
"59"," 머니투데이 배성민 기자 오전 출발 예정 항공편 오후로 출발 늦춰져 여행사들 문의 있지만 현재는 일시 폐쇄에 가까와 지난해 월 일 현지시간 인도네시아 발리 카랑가셈의 아궁 화산에서 검은 화산재가 솟아오르고 있다 로이터 뉴스 인도네시아 발리 섬 아궁 화산이 분화하면서 현지 공항이 일시 폐쇄된 가운데 국내 여행업체들은 여행 중단까지 이를 상황은 아니라면서 사태 추이를 지켜보고 있다고 설명했다 또 국내에서 오전 시 분에 인도네시아로 출발하는 비행편 가루다항공 은 오후 시 이후로 출발이 늦춰져 있다 인도네시아 국가재난방지청은 일 현지시간 오전 시부터 오후 시까지 응우라라이 국제공항의 운영을 중단한다고 밝힌 상황이다 하나투어 관계자는 작년 월에 이슈가 된 적이 있지만 현재는 현지 영상 등을 파악해 본 결과 큰 이슈 없이 지나갈 것 같다 고 설명했다 그는 상황에 맞춰 대응하는게 맞는데 현재는 정보 전달에 집중하고 있는 상황으로 여행 취소 문의까지는 없지만 만약 고객분들이 현재 취소를 원한다면 여행약관에 따른 수수료가 발생한다는 쪽으로 안내하고 있다 고 설명했다 모두투어쪽에서도 현지 여행객 안전에는 문제가 없는걸로 확인했고 공항폐쇄조치가 현재로서는 단계라서 오래 가지는 않을 것으로 보인다 고 설명했다 이 관계자는 한국에서 오전 시반에 출발하는 가루다항공이 우선 한시간 분 연기된 상태인데 이 비행편의 출발 여부로 추후 상황을 파악해 볼 수 있을 것 이라고 밝혔다 발리 현지의 한 주민은 일단 일시적 분화로 보이는 그리 심각하지는 않은 상황 으로 화산연기 때문에 공항은 일시 폐쇄된 상태로 보인다 고 전했다 더 많은 머니투데이 기사보기 실시간 급상승 기사 리포트 가 새로 발행되었습니다 배성민 기자 "
"60"," 무라카미 하루키 작품 속 클래식과 미야자키 하야오의 애니메이션 음악을 오케스트라로 감상할 수 있는 공연 하루키 애니메이션 거장을 만나다 가 다음 달 일 서울 예술의전당 콘서트홀에서 열린다 이번 공연에선 무라카미 하루키의 신작 소설 의 모티브가 된 모차르트의 오페라 돈 조반니 와 미야자키 하야오 감독의 하울의 움직이는 성 원령공주 의 가 연주된다 베이스바리톤 권서경과 테너 조민웅이 스페셜 스테이지를 선보이고 피아니스트 신창용과 안두현 지휘자도 함께 한다 장혁진기자 저작권자 무단복제 재배포 금지 문어 영표 의 월드컵 예언 오늘도 적중 보다 리얼 한 색다른 뉴스 "
"61"," 오늘 일 오전 일본 오키나와 남쪽 해상에서 호 태풍 쁘라삐룬 이 발생했습니다 기상청 국가태풍센터는 오늘 일 오전 시쯤 일본 오키나와 남남동쪽 부근 해상에서 호 태풍 쁘라삐룬 이 발생했다고 밝혔습니다 태풍의 중심기압은 중심 최대 풍속은 초속 로 약한 소형 태풍입니다 태풍진로도이 태풍은 앞으로 북서쪽으로 북상해 일요일인 모레 월 일 오전 시에는 일본 오키나와 서북서쪽 해상 월요일 일 오전 시에는 제주 서귀포 서남서 쪽 부근 해상까지 북상할 것으로 보입니다 이후에는 곧장 북쪽으로 이동해 한반도 서해안을 따라 북상한 뒤 일 밤 충남 서산 부근에 상륙해 온대 저기압으로 약화할 것으로 기상청은 전망했습니다 태풍과 함께 주말 동안 장마전선도 북상해 전국에 많은 비를 뿌릴 것으로 보입니다 내일 일 아침부터 전국에 다시 장맛비가 시작돼 모레 월 일 까지 수도권과 충남 서해안 남해안에 최고 이상 그 밖의 전국에도 에서 의 많은 비가 예상됩니다 또 태풍이 접근하는 다음 주 초에도 강한 바람과 함께 많은 비가 내릴 것으로 보여 침수와 시설물 피해 없도록 사전에 대비가 필요합니다 이정훈기자 저작권자 무단복제 재배포 금지 문어 영표 의 월드컵 예언 오늘도 적중 보다 리얼 한 색다른 뉴스 "
"62"," 지난 일 부산에서 열린 한국피부비만성형학회에서 눈꽃힐 시술 에 대한 강연 및 브랜드 홍보 행사가 진행되었다 이번 학회에서 눈꽃힐 시술 연자로 나선 동안중심청담점의 조창환 대표원장은 눈꽃힐 시술은 피부 재생과 미백 보습에 효과적인 시술로 특히 피부의 재생과 미백효과를 동시에 도모하기를 희망하는 이들에게 높은 만족도를 얻고 있다 고 시술 케이스를 공유하기도 했다 조 원장은 레이저 시술과 병행했을 때의 눈꽃힐 시술의 시너지 효과를 전하며 다양한 프로토콜 등을 학회참석자들과 공유해 큰 호응을 얻기도 했다 또 이날 학회에는 눈꽃힐 시술 강연 외에도 동안연예인으로 손꼽히는 김가연이 눈꽃힐 행사장에 참석해 많은 주목을 받기도 했다 한편 눈꽃힐 은 일본산 글루타치온과 알라스카산 연어 추출물 일본산 고분자 미국산 토코페롤레티노에이트 성분을 공법으로 제조된다 좋은 성분을 활용하는 눈꽃힐 시술은 상대적으로 길지 않은 다운타임에도 불구 하고 자연스러운 피부재생과 맑고 깨끗한 피부를 가꾸어 주는데 도움을 줄 수 있어 여성들에게 큰 인기를 끌고 있다 디지털기획팀 이세연 카카오 친구맺기 페이스북 취재대행소 왱 클릭 국민일보 무단전재 및 재배포금지"
"63"," 제 호 태풍 쁘라삐룬 예상 이동 경로 기상청 홈페이지 캡처 서울 황희경 기자 정부는 일 일본 오키나와 남남동쪽에서 발생한 제 호 태풍 쁘라삐룬의 한반도 북상 가능성에 따라 긴급대책회의를 열고 태풍 대처 상황을 점검한다 김부겸 행정안전부 장관은 이날 오후 시부터 정부서울청사 중앙재난안전상황실에서 부처 담당 실 국장과 시 도 부단체장이 참석한 가운데 태풍 대비 긴급대책회의를 주재한다 회의에서는 기상청이 태풍 예상 진로를 발표한 이후 밀물 때 태풍의 영향을 받는 해안가 피해대비 대책과 침수 피해 방지 대책 산사태 방지 대책 등을 점검한다 기상청에 따르면 일 오전 시 일본 오키나와 남남동쪽 약 부근 해상에서 태풍이 발생해 북상 중이다 이 태풍은 다음달 일 오전 시 서귀포 서남서 쪽 약 부근 해상으로 접근한 뒤 오후 시에는 서산 남쪽 약 부근 육상까지 북상할 것으로 보인다 쁘라삐룬 은 태국에서 제출한 이름으로 비의 신 을 뜻한다 기사제보 및 문의 뉴스가 보여요 유튜브 러시아 월드컵의 모든 것 "
"64"," 오피움 워크숍 겸 오디션 포스터 서울 뉴스 박정환 문화전문기자 한국문화예술위원회 직무대행 최창주 가 안무가 예효승의 신작 오피움 에 참여할 무용수를 선발하는 워크숍 겸 오디션을 오는 월 일부터 일까지 일간 서울 종로구 대학로예술극장 스튜디오 하늘에서 개최한다 오피움 은 예술위가 아르코 대학로예술극장에서 국내 초연 작품을 선보이는 기획 공연 올해의 아르코 파트너 베스트 앤 퍼스트 작품 중 하나다 예술위는 이번 워크숍을 통해 월로 예정된 본 공연에 오를 출연자를 선발한다 이번 신작은 환각제로 사용하는 식물 양귀비에 착안한 작품이다 예효승 안무가는 억압에 의해 체험되지 않았던 감각을 춤으로 표현할 예정이며 오는 월 일부터 일까지 서울 종로구 혜화동 대학로예술극장 대극장에서 공연한다 오디션 심의위원으로는 예효승 안무가를 비롯해 드라마투르그 김재리 음악감독 김시율 조명감독 이영욱 등 창작진이 참여한다 예효승 안무가는 학연과 지연이 아닌 오로지 움직임만을 보고 무용수를 공정하게 선발할 계획 이라고 밝혔다 뉴스 채널설정하기 제보하기 러시아 월드컵 기사보기 뉴스 코리아 무단 전재 및 재배포 금지 "
"65"," 가수 션이 내일 오후 시민 등 여 명과 달리는 아이스버킷 챌린지 를 합니다 소속사 엔터테인먼트에 따르면 이번 행사는 국내 첫 루게릭병 요양병원 건립 기금을 마련하기 위한 것으로 내일 오후 시 분 서울 노들나루 공원에서 열립니다 구간은 등으로 나뉘어 진행되며 이후 재능기부로 참여한 지누션과 에픽하이 양동근 블랙나인 주노플로 등의 공연이 열립니다 참가 희망자는 아이스버킷 챌린지 런 사이트에 신청한 뒤 참가비를 입금하면 되고 참가비는 전액 승일희망재단에 기부됩니다 시간 실시간 뉴스 생방송 보기 러시아 월드컵 기사모음 저작권자 무단전재 및 재배포 금지 "
"66"," 성남 김승두 기자 이낙연 국무총리가 일 경기도 성남시 한국학중앙연구원에서 열린 개원 주년 기념식에서 국민의례를 하고 있다 이 총리 왼쪽은 안병욱 한국학중앙연구원장 기사제보 및 문의 뉴스가 보여요 유튜브 러시아 월드컵의 모든 것 "
"67"," 서울 박성민 기자 서울시는 제철농산물을 활용해 장아찌와 약선음식을 만드는 제철농산물 이용교육 무료강좌 를 월 일 서초구 내곡동 서울농업기술센터에서 연다고 일 밝혔다 일에는 이선미 숙명여대 한국음식연구원 외래교수의 강의로 김 간장 장아찌 당귀잎 고추장 장아찌 참외 된장 장아찌 등 전통 장아찌 만들기를 배운다 다음날에는 김찬희 슬로푸드 연구원이 무더위에 건강을 지켜줄 장어표고조림 오골계 냉채 율무감자 영양밥 등 여름 약선음식 만들기를 가르친다 시민 명을 대상으로 진행하는 강의에 참여하고 싶으면 오는 일 오전 시부터 농업기술센터 홈페이지 에서 선착순으로 신청하면 된다 기사제보 및 문의 뉴스가 보여요 유튜브 러시아 월드컵의 모든 것 "
"68"," 무초 왼쪽 와 미모사 오른쪽 서울대공원 제공 서울 박성민 기자 서울대공원 식물원은 스스로 움직이는 식물을 관찰할 수 있는 움직이는 식물 전시회 를 상설 전시한다고 일 밝혔다 이번 전시에서는 서울대공원이 직접 재배한 움직이는 식물 무초 미모사 파리지옥을 만나볼 수 있다 콩과 식물로 동남아에서 자생하는 잡초인 무초 는 소리에 반응해 춤을 추는 모습을 보인다고 해서 춤출 무 舞 자를 붙여 이름 지어졌다 도 습도 광선이 잘 드는 환경에서 큰 잎 옆 두 개의 작은 잎들이 위아래로 도 움직이는 모습을 볼 수 있다 어린이나 여성의 노래에 더 민감하게 반응한다 미모사는 건드리면 잎을 차례로 접어 자신을 먹으러 온 동물로부터 스스로 보호하고자 시든 것처럼 위장하는 식물이다 밤에는 잠을 자는 모습을 보인다고 우리나라에서는 잠풀 이라고도 불린다 잎을 건드리면 전기신호가 잎자루를 따라 이동하며 수분이 갑자기 빠져나가 세포를 쪼그라들게 하는 것인데 에너지가 많이 소모돼 자주 건드리면 탈진해 죽는다 잎자루와 덫으로 구성된 잎을 지닌 파리지옥은 자극이 오면 빠르게 입을 닫아 개미 파리 모기 등과 같은 곤충을 잡아먹는 식물이다 길이의 덫 가장자리 선세포에서 달콤한 즙이 분비돼 곤충을 유인하며 덫 내부의 개의 감각모를 회 이상 자극하거나 감각모 개를 동시에 건드리면 바로 초 만에 덫이 닫힌다 서울대공원은 화요일부터 일요일까지 오전 시와 오후 시에 식물설명회를 한다 오는 월까지 해설사가 음악을 들려줘 무초가 움직이는 모습을 볼 수 있다 미모사와 파리지옥에 대한 이야기도 재밌게 들려준다 기사제보 및 문의 뉴스가 보여요 유튜브 러시아 월드컵의 모든 것 "
"69"," 공연 모습 수원 뉴스 권혁민 기자 수원문화재단은 월 일 서 발레단의 이야기가 있는 발레 를 수원 아트리움 대공연장 무대에 올린다고 일 발표했다 년부터 시작된 이야기가 있는 발레는 국내외에서 활발히 활동 중인 발레단의 대표작으로 함께 즐기고 공감할 수 있는 친근한 이야기를 다루고 있다 이번 공연은 클래식부터 모던 발레까지 한 무대에서 만나볼 수 있는 기회를 제공한다 공연 중간중간에 이해하기 쉽도록 설명을 해줌으로써 이야기와 음악에 대한 관객들의 이해를 돕도록 구성했다 또 올해 신설된 수원 주니어발레단 어린이 무용수들의 무대와 로잔 콩쿨 주니어 수상자인 박한나 이준수의 그랑 파드듀 무대로 현재 세계에서 빛나고 있는 미래의 한국발레의 스타들을 볼 수 있는 특별 무대도 준비했다 년 프랑스에서 설립된 발레단은 한국과 유럽에서 많은 활동을 하고 있다 서미숙 예술감독이 이끌고 있으며 현재는 발레 협동조합 소속 단체로 수원발레축제와 발레 더 갈라마스터피스 등 관객의 즐거움과 감동을 위해 많은 공연을 제작하고 있다 티켓가격은 만 만원이며 수원 아트리움 홈페이지와 인터파크티켓에서 예매하면 된다 뉴스 채널설정하기 제보하기 러시아 월드컵 기사보기 뉴스 코리아 무단 전재 및 재배포 금지 "
"70"," 스포츠서울 김효원기자 강원 영월군 주천면 주천강의 섶다리가 스토리 있는 문화여행길 로 복원된다 영월문화원은 일 주천강의 전통 섶다리 밟기가 문화체육관광부가 선정하는 세시풍속 맥 잇기 공모사업에 선정됐다고 알렸다 주천강 전통 섶다리는 비운의 삶을 살다간 조선시대 단종의 역사가 담겨있다 조선 숙종이 강원 관찰사에게 단종 묘인 영월 장릉을 참배하도록 해 마을주민들이 이들이 강을 건널 수 있도록 섶다리를 놓았던 것에서 유래됐다 주천강 전통 섶다리 놓기는 이후 년대 중반 마을 축제의 일환으로 재현되었으나 지금은 사라졌다 이에 영월문화원은 주천의 전통 섶다리와 전통놀이를 문화유산 콘텐츠로 개발하겠다고 밝혔다 스포츠서울 공식 페이스북 팟캐스트 스포츠서울 야구 파일 스포츠서울 공식 유튜브 채널 기사제보 스포츠서울 "
"71"," 장클로드 펜티에 이데일리 이정현 기자 프랑스의 피아니스트 장클로드 펜티에 가 건강상의 이유로 내한 공연을 취소했다 금호아시아나 문화재단은 일 월 일로 예정했던 장클로드 펜티에 공연이 취소됐다 며 고령인 아티스트의 건강상의 이유로 의사 소견서와 함께 투어취소를 알려왔다 고 밝혔다 장클로드 펜티에는 쇼팽과 포레 전주곡 엮음 이라는 부제로 공연할 예정이었다 그는 피아니스트 실내악 음악가 작곡가 지휘와 교수 등 다방면에서 년 넘게 활동했다 이정현 대를 위한 취업 금융 생활 정보가 가득 스냅타임 네이버 홈에서 이데일리 기사 보려면 구독하기 최신 웹툰이 매일 공짜 꿀잼 웹툰 감상하기 종합 경제정보 미디어 이데일리 무단전재 재배포 금지 "
"72"," 사진 방송화면 헤럴드경제 스타 컬처팀 최민호 기자 바추아이가 경기 도중 큰 웃음을 선사했다 바추아이는 일 한국시간 러시아 칼리닌그라드의 칼리닌그라드 스타디움에서 열린 러시아 월드컵 조별예선 조 차전 벨기에와 잉글랜드의 경기에 출전했다 양 팀은 이미 강 진출을 확정지은 채 조 위를 가리기 위한 경기를 펼쳤다 이날 벨기에는 야누자이의 골로 잉글랜드에 대 승리를 거뒀다 바추아이는 잉글랜드와의 경기에 선발 출전해 팀의 공격을 이끌었다 뿐만 아니라 경기 외적으로도 인상 깊은 장면을 남겼다 바추아이는 야누자이의 골이 터지자 이를 축하하며 공을 강하게 걷어 찼다 하지만 공이 골대를 맞고 튕겨 나오며 바추아이의 얼굴을 강타해 지켜보던 이들을 폭소하게 했다 바추아이의 대응 역시 재치 넘쳤다 바추아이는 자신의 에 직접 글을 남기며 나는 왜 이렇게 멍청할까 라고 말하기도 했고 인스타그램에는 해당 영상까지 올리며 새로운 무언가를 해야 했다 는 재치 넘치는 글을 남겨 웃음을 유발했다 한편 벨기에와 잉글랜드는 나란히 조 위에 오르며 강에 진출했다 러시아 월드컵 강 일정은 일부터 시작된다 내삶의모든리뷰 헤럴드 리얼라이프 리얼라이프 카카오플러스 친구맺기 타파스 페이스북 친구맺기 헤럴드경제 무단 전재 및 재배포 금지 "
"73"," 트럼프 대통령 숙소 샹그릴라 호텔 김정은 위원장 둘러본 명소 등 구성 서울 뉴스 김민석 기자 샵은 일 밤 시 분 자사 여행 프로그램 픽더트래블 을 통해 하나투어 싱가포르 완전일주 일 을 방영한다고 밝혔다 샵에 따르면 이 상품은 전 세계의 이목이 집중됐던 싱가포르 북미정상회담 따라잡기 콘셉트로 기획됐다 트럼프 대통령의 숙소였던 성급 샹그릴라 호텔 박과 김정은 국무위원장이 회담 전날 방문한 싱가포르 명소 관광 등이 포함됐다고 회사 측은 설명했다 싱가포르 랜드마크인 가든스 바이 더 베이 식물원 에 들러 김 위원장이 싱가포르 장관들과 셀카를 찍었던 실내온실에 이어 마리나베이샌즈 스카이파크 전망대 와 싱가포르의 상징 멀라이언 파크 쥬빌리 브릿지 등도 둘러볼 예정이다 아울러 루지 스카이라이드 마담투소 마블 시네마 케이블카 등 북미정상회담이 열린 평화의 섬 센토사 의 대 어트랙션 탑승 보타닉가든 리버사파리 주롱새공원 오차드로드 등 코스를 알차게 구성했다 샹그릴라 호텔 런치뷔페 레드하우스 칠리크랩 스팀보트뿐 아니라 카야토스트 봉지커피 육포 꼬치튀김 등 싱가포르를 맛으로도 즐길 수 있도록 했다 아시아나항공 왕복 관광지입장료 억원 여행자보험 각종 세금이 모두 포함되며 월 일부터 월 일까지 매주 출발할 수 있다 날짜에 따라 성인 만 원부터 만 원이다 전우정 샵 토탈서비스팀 차장은 싱가포르는 개별여행객이나 비즈니스 출장자들이 많아 단체항공권 확보가 어려운 지역 이라며 역사적인 북미정상회담의 열기를 고스란히 느낄 수 있도록 하나투어와 함께 발빠르게 상품을 기획했다 고 말했다 뉴스 채널설정하기 제보하기 러시아 월드컵 기사보기 뉴스 코리아 무단 전재 및 재배포 금지 "
