"","x"
"21"," 서울 해양수산부가 해양생물자원관 제 대 관장에 황선도 전 수산자원관리공단 서해본부 생태복원실장을 임명했다고 일 밝혔다 해양수산부 제공 기사제보 및 문의 뉴스가 보여요 유튜브 러시아 월드컵의 모든 것 "
"22"," 김형식 기자 오늘 일 오전 일본 오키나와 남쪽 해상에서 발생한 호 태풍 쁘라삐룬 이 북상하고 있다 기상청 국가태풍센터에 따르면 이날 오전 시쯤 일본 오키나와 남남동쪽 부근 해상에서 호 태풍 쁘라삐룬 이 발생했다고 한다 출처 기상청 홈페이지 한편 태풍의 중심기압은 중심 최대 풍속은 초속 로 약한 소형 태풍이지만 앞으로 북서쪽으로 북상해 일요일인 모레 월 일 오전 시에는 일본 오키나와 서북서쪽 해상 월요일 일 오전 시에는 제주 서귀포 서남서 쪽 부근 해상까지 북상할 것으로 전망된다 또한 이후에는 곧장 북쪽으로 이동해 한반도 서해안을 따라 북상한 뒤 일 밤 충남 서산 부근에 상륙해 온대 저기압으로 약화할 것으로 기상청은 전했다 이로 인해 태풍과 함께 주말 동안 장마전선도 북상해 전국에 많은 비가 내릴 예정이라 시설물 관리와 안전에 유의가 필요하다 김형식기자 네이버 채널에서 를 구독해주세요 에서 부동산 고수를 만나보세요 무단전재 및 재배포 금지 "
"23"," 월 일 서귀포 남남서쪽 부근까지 접근 제주 뉴시스 우장호 기자 제 호 태풍 쁘라삐룬 이 우리나라를 향해 북상하고 있다 기사청에 따르면 태풍 쁘라삐룬은 일 오전 시 일본 오키나와 남남동쪽 해상에서 시간당 속도로 제주도를 향해 서서히 북상 중이다 태풍 삐라삐룬 예상진로도 자료 기상청 제공 제주 뉴시스 우장호 기자 일본 오키나와 남동쪽 해상에서 발생한 제 호 태풍 쁘라삐룬 이 우리나라를 향해 북상하고 있어 한반도에 영향을 미칠 지 여부에 관심이 모아진다 일 제주지방기상청에 따르면 지난 일 오후 시 일본 오키나와 남남동쪽 약 부근에서 열대저압부를 형성하던 구름이 태풍으로 성장 제 호 태풍 쁘라삐룬으로 발전했다 태풍 쁘라삐룬은 일 오전 시 일본 오키나와 남남동쪽 해상에서 시간당 속도로 제주도를 향해 서서히 북상 중이다 세력은 중심기압 최대풍속 강풍반경 의 약한 소형급 태풍이다 그러나 다음주 일요일인 월 일에는 최대풍속 의 중형 태풍으로 성장할 전망이다 기상청은 태풍 쁘라삐룬가 계속 북상해 월 일 오전 시에는 제주도 서귀포 남남서쪽 약 부근 해상으로 진출할 것으로 예상했다 기상청은 태풍 쁘라삐룬이 우리나라를 향해 북상하고 있다 며 태풍의 진로가 제주도를 관통할 것으로 예상되는 만큼 앞으로 발표되는 기상정보에 관심을 기울여달라 고 당부했다 태풍 쁘라삐룬은 태국에서 제출한 이름으로 비의 신 을 의미한다 뉴시스 빅데이터 주가시세표 바로가기 뉴시스 페이스북 트위터 "
"24"," 국가민속문화재 제 호인 동궁비 원삼 년 황태자이던 순종이 혼례를 올릴 당시 황태자비 윤비 훗날 순정효황후 가 입었던 예복이다 국립문화재연구소 제공 여년 전 대한제국 당시 황실 여성의 의복들이 문화재 보존처리를 통해 되살아났다 문화재청 국립문화재연구소 문화재보존과학센터는 조선 왕실 여성의 복식전통을 이어받은 대한제국 당시의 동궁비 원삼 국가민속문화재 제 호 과 전 傳 왕비 당의 국가민속문화재 제 호 등 벌의 보존처리를 년에 걸쳐 완료했다고 일 밝혔다 동궁비 원삼 은 순종이 황태자 시절이던 년 가례 혼례 를 올릴 당시 황태자비 동궁비 신분으로 윤비 훗날 순정효황후 가 입었던 붉은 색의 원삼이다 원삼은 활옷과 함께 양반가 여성들의 예복으로 넓고 긴 소매 등이 특징이다 전 왕비 당의 는 순종이 황제로 즉위한 후 순정효황후가 입었던 예복 당의 으로 알려져 있다 이 당의는 겉당의와 속당의 등 두 벌로 이뤄져 있다 국가민속문화재 제 호인 전 왕비 당의 순종황제의 비인 순정효황후의 예복이다 국립문화재연구소 제공 이들 원삼과 당의는 황태자비 황후의 의복에 걸맞게 비단에 금실로 봉황 무늬 등을 짜 넣었다 또 양 어깨와 가슴 등에는 섬세한 자수인 오조룡보 발톱이 개인 용 무늬의 원형 장식물 가 부착돼 있다 이들 유물은 조선 왕실 복식사 연구에 귀중한 자료로 평가받는다 문화재보존과학센터 측은 곱고 얇은 직물의 의복들은 여 년의 시간이 흐르면서 매우 약해진 상태로 본 모습을 되찾으면서 약해진 부분을 보강하는 데 주력했다 며 보존처리를 끝낸 유물들은 지난 일 소장처인 세종대학교 박물관으로 인계했다 고 밝혔다 문화보존과학센터는 이번 보존처리 전 과정과 새롭게 밝혀낸 분석 결과 등을 내년도에 발간할 보존처리 연구보고서 를 통해 공개할 예정이다 도재기 선임기자 경향신문 트위터 페이스북 인기 무료만화 보기 경향신문 무단전재 및 재배포 금지"
"25"," 소설가 전상국 왼쪽부터 영화감독 정지영 연극배우 이호재 서양화가 김숙진 공예가 강찬균소설가 전상국 영화감독 정지영 연극배우 이호재 서양화가 김숙진 공예가 강찬균 씨가 신입 예술원 회원으로 선출됐다 대한민국예술원 회장 나덕성 은 일 정기총회를 열고 명의 신입회원을 최종 인준했다 이로써 예술원회원은 모두 명이 됐다 아베의 가족 으로 잘 알려진 소설가 전상국 은 년 소설 동행 으로 등단한 이래 지난해 산문집 춘천 사는 이야기 까지 여 년 동안 왕성한 활동을 하고 있으며 정지영 영화감독은 부러진 화살 남영동 등 사회 부조리를 고발한 영화로 잘 알려져 있다 연극배우 이호재 씨는 년 생쥐와 인간 으로 데뷔한 이래 년 언덕을 넘어서 가자 까지 여 년 외길 인생을 걸어왔다 이윤미 기자 내삶의모든리뷰 헤럴드 리얼라이프 리얼라이프 카카오플러스 친구맺기 타파스 페이스북 친구맺기 헤럴드경제 무단 전재 및 재배포 금지 "
"26"," 서울 뉴시스 국가민속문화재 제 호 동궁비 원삼 서울 뉴시스 이수지 기자 조선 시대 왕실 여성 의상들이 본 모습을 찾았다 국립문화재연구소 문화재보존과학센터는 조선 왕실 복식을 대표하는 국가민속문화재 제 호 동궁비 원삼 국가민속문화재 제 호 전 傳 왕비 당의 등 세종대가 소장한 조선 왕실 여성 복식 벌 보존 처리를 년여에 걸쳐 완료했다 조선 시대 공주와 옹주의 대례복인 활옷 闊衣 과 함께 민간 혼례복으로 익숙한 원삼 圓衫 은 원래 양반가 여성 예복이다 보존 처리된 동궁비 원삼은 순종이 황태자이던 년 두 번째 가례인 병오가례를 올렸을 당시 동궁비였던 순종비 순정효황후가 입었던 원삼으로 추정된다 당의도 순종비의 것으로 당의 벌을 함께 끼워 만들었다 모두 금사 金絲 를 넣어 봉황을 시문한 직금문단 織金紋緞 직물을 사용했다 용 무늬 흉배인 오조룡보 五爪龍補 가 가슴 등 양어깨에 달려 유물 가치가 높다 복식은 여 년을 흐르는 동안 직물이 구겨지기도 하고 일부 찢어지기도 했다 동궁비 원삼의 경우 곱고 얇은 직물을 사용해 약해진 상태였다 동궁비 원삼은 크기가 의 달해 직물 무게도 상당히 무겁다 서울 뉴시스 국가민속문화재 제 호 전 傳 왕비 당의센터를 주축으로 관련 전문가 소장처 등이 긴밀히 협조 유물을 과학적으로 분석하고 유물 이력을 조사해 이런 상태를 확인했다이에 따라 센터는 복식을 보존 처리할 때 유물의 본 모습 찾기와 약한 부분 보강에 주력했다 유물을 출납하거나 격납하면서 자연적으로 발생하는 구김이나 직물 손상을 최소화할 수 있도록 맞춤형 유물 충전재를 직접 제작해 사용했다 센터는 보존처리가 완료된 유물들을 지난 일 세종대 박물관으로 인계했다 센터는 보존 처리 전 과정과 새롭게 밝혀낸 분석 결과를 내년 발간할 보존처리 연구보고서 를 통해 공개할 예정이다 뉴시스 빅데이터 주가시세표 바로가기 뉴시스 페이스북 트위터 "
"27"," 김포시와 워터웨이플러스는 월 일부터 일까지 경인아라뱃길 김포아라마리나 인근 수역 및 광장에서 아라마린페스티벌 을 개최한다고 일 밝혔다 아라마나 전경의 모습 김포시제공 뉴스 정진욱 기자 김포 뉴스 정진욱 기자 김포시와 워터웨이플러스는 월 일부터 일까지 경인아라뱃길 김포아라마리나 인근 수역 및 광장에서 아라마린페스티벌 을 개최한다 아라마린페스티벌 은 아라뱃길에서 펼쳐지는 수상레저대회와 음악콘서트 문화체험 푸드트럭 수제맥주 먹거리 장터 등 다채로운 프로그램이 준비됐다 해양레저 수상대회는 패들보드 카약 요트 세 종목이 진행된다 와 카약은 세 이상의 어린이나 성인이면 사전접수를 통해 대회에 참가할 수 있다 범퍼보트 수상자전거 카약 체험 드론체험 다육식물심기도 무료로 체험할 수 있다 시는 시민들이 참가하는 로컬오픈마켓과 판매 수익금의 일부를 지역사회에 기부하는 자선바자회 평화문화 번지 김포시의 평화캠페인 체험부스도 함께 운영한다 일 오후 시 개막식 이후 열리는 착한콘서트에는 울랄라세션 진주 등 유명가수들이 참여해 축제의 밤을 더욱 화려하게 빛낸다 시 관계자는 시민들의 문화향유 기회 확대와 수상레저를 쉽고 간편하게 즐길 수 있는 프로그램을 다양하게 준비했다 며 가족 연인 등 많은 분들이 방문해 아라마린페스티벌을 즐기길 바란다 고 말했다 뉴스 채널설정하기 제보하기 러시아 월드컵 기사보기 뉴스 코리아 무단 전재 및 재배포 금지 "
"28"," 전국 여 대학 여명의 대학생 대표단과 다양한 영상매체에 관심이 있는 사람들의 목소리를 대변할 사단법인 한국영상협회 가 출범했다 한국영상협회은 지난 월 일 오후 시 시 연남동에서 영상 및 이에 관련된 연구 및 개발을 통해 한국의 다양한 영상문화의 지속적인 발전을 촉진하고 미래의 영상인을 육성하기 위한 교육을 지원한다는 목표 아래에 한국영상협회 발기인 총회 를 개최하고 이해성 협회장 글로벌 커머스진흥원 초대 이사장 을 초대협회장으로 선출했다고 일 밝혔다 발기인총회에서는 한국영상협회와 관련한 사업계획 승인 건 예산결산 승인 건 정관승인 건 등에 대한 모든 안건이 통과됐다 이날 이해성 신임협회장은 공동준비위원장 황산해 박지은 등 임원을 선임했다 이어 이해성 협회장은 한국영상협회는 끊임없이 발전하는 영상미디어와 함께 문화 예술의 새 지평을 펼치고자 하는 젊은 대학생들과 영상인들을 통해 창립됐다 한국영상협회는 일상생활에서 마주하는 모든 것들을 비롯해 새롭게 등장하는 매체들 웹 가상현실 인공지능과 기타 등등 을 통해 보다 확장성 있는 영상이라는 개념들의 적극적인 연구와 지원을 통해 개인과 사회에 자유와 혁신 공존의 가치를 실현하는 데에 일조하고자 한다 고 밝혔다 무단전재 및 재배포 금지 "
"29"," 사진 헤럴드경제 스타 컬처팀 최민호 기자 최경환 자유한국당 의원에 대한 심 선고가 나왔다 재판부는 최경환 의원에게 징역 년과 벌금 억 천만원 추징금 억원을 선고했다 서울중앙지법 형사합의 부에서 일 오전 최경환 의원에 대한 선고공판이 열렸다 이날 재판부는 최경환 의원의 혐의를 모두 유죄로 인정했다 최경환 의원은 경제부총리 겸 기획재정부 장관이던 년 월 이헌수 전 국정원 기조실장으로부터 국정원 특수활동비로 조성된 억원을 뇌물로 받은 혐의를 받아 구속기소됐다 최경환 의원은 국정원 돈 억원을 받았다면 동대구역에서 할복 자살하겠다 등의 발언을 하며 혐의를 강하게 부인해왔다 하지만 재판부는 억원 전달 사실을 진술하는 이병기 이헌수의 진술 모두 신빙성이 높다 며 유죄를 선고했다 또한 재판부는 국정원 예산안 편성에 대한 국회 심의가 지속되는 상황에서 피고인에게 이병기가 금품을 교부할 만한 동기가 충분해 보인다 국정원이 기재부 공무원에 대한 격려금을 지급한다는 것은 선뜻 납득하기 어렵고 격려금으로 보기에는 큰 금액 이라는 점 등을 들어 직무관련성 혹은 대가성이 있는 돈이라고 판단 유죄 선고 이유를 밝히기도 했다 내삶의모든리뷰 헤럴드 리얼라이프 리얼라이프 카카오플러스 친구맺기 타파스 페이스북 친구맺기 헤럴드경제 무단 전재 및 재배포 금지 "
"30"," 이데일리 박지혜 기자 일 일본 오키나와 남남동쪽에서 발생한 제 호 태풍 쁘라삐룬 이 한반도에 북상할 것으로 예측되면서 정부가 대처 상황에 대한 긴급대책회의를 갖는다 기상청에 따르면 이날 오전 시 일본 오키나와 남남동쪽 약 부근 해상에서 태풍 쁘라삐룬이 발생해 북상하고 있다 이 태풍은 다음달 일 오전 시 서귀포 서남서쪽 약 부근 해상으로 접근한 뒤 같은 날 오후에는 서산 남쪽 약 부근 육상까지 올라올 것으로 보인다 이에 대해 김부겸 행정안전부 장관은 이날 오후 시부터 정부서울청사 중앙재난안전상황실에서 부처 담당 실 국장과 시 도 부단체장과 함께 태풍 대비 긴급대책회의를 주재할 예정이다 제 호 태풍 쁘라삐룬 예상 이동경로 사진 기상청 홈페이지 중심기압 중심 최대 풍속 초속 로 약한 소형 태풍이지만 이번 주말 동안 장마전선도 북상해 전국에 많은 비를 뿌릴 것으로 보인다 내일 일 아침부터 전국에 다시 장맛비가 시작돼 모레 월 일 까지 수도권과 충남 서해안 남해안에 최고 이상 그 밖의 전국에도 에서 의 많은 비가 예상된다 태풍이 접근하는 다음 주 초에도 강한 바람과 함께 많은 비가 내릴 것으로 보여 침수와 시설물 피해 없도록 사전 대비가 필요하다 한편 제 호 태풍 쁘라삐룬 은 태국에서 제출한 이름으로 비의 신 을 의미한다 박지혜 대를 위한 취업 금융 생활 정보가 가득 스냅타임 네이버 홈에서 이데일리 기사 보려면 구독하기 최신 웹툰이 매일 공짜 꿀잼 웹툰 감상하기 종합 경제정보 미디어 이데일리 무단전재 재배포 금지 "
