시군명,사업장명,인허가일자,영업상태명,폐업일자,축산업무구분명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
부천시,Idogcare,20171214,운영중,,동물판매업,경기도 부천시 상동 329번지,경기도 부천시 부일로308번길 19 (상동),14625,37.4874799312,126.7641931972
부천시,강아지본부,20180608,운영중,,동물판매업,경기도 부천시 역곡동 225-18번지 월드하이츠,"경기도 부천시 안곡로 239-5, 1층 (역곡동, 월드하이츠)",14669,37.4891515751,126.8170148577
부천시,똥강아지,20160302,운영중,,동물판매업,경기도 부천시 고강동 346-1번지,"경기도 부천시 역곡로472번길 12 (고강동, 동림빌딩)",14411,37.5264519296,126.8165942833
부천시,가족의탄생,20171107,운영중,,동물판매업,경기도 부천시 심곡동 369-7번지 다우빌,"경기도 부천시 부천로65번길 45, 101호 (심곡동, 다우빌)",14630,37.4913439767,126.7821032447
부천시,프렌치독,20110328,운영중,,동물판매업,경기도 부천시 작동 67-2번지,경기도 부천시 까치로 99 (작동),14474,37.5150637420,126.8056848021
부천시,부천24시SKY동물병원,20110427,운영중,,동물판매업,경기도 부천시 중동 1149-2번지,경기도 부천시 길주로 252,14548,37.5031510748,126.7701598400
부천시,애니독4호점,20110629,운영중,,동물판매업,경기도 부천시 심곡동 448-9번지,경기도 부천시 신흥로 84,14631,37.4909579710,126.7780789411
부천시,초이스펫,20111104,운영중,,동물판매업,경기도 부천시 상동 329번지,경기도 부천시 부일로308번길 19,14625,37.4874799312,126.7641931972
부천시,이솝동물병원,20120130,운영중,,동물판매업,경기도 부천시 심곡동 367-12  번지,경기도 부천시 부천로 69,14630,37.4905092572,126.7838244183
부천시,CS PET,20120208,운영중,,동물판매업,경기도 부천시 상동 463-1 번지,경기도 부천시 부일로 224-9,14624,37.4878753379,126.7549428575
부천시,바우스토리,20120503,운영중,,동물판매업,경기도 부천시 상동 545-20번지,경기도 부천시,14544,37.5045139285,126.7494140700
부천시,갤러리캣,20120604,운영중,,동물판매업,경기도 부천시 상동 530-1  번지 디아뜨갤러리1409호,경기도 부천시 길주로77번길 19-45,14543,37.5075951219,126.7493244833
부천시,트랜드독,20120806,운영중,,동물판매업,경기도 부천시 심곡동 373-16  번지,경기도 부천시 장말로 360-1 (상동),14632,37.4899290029,126.7818812640
